,CM_SK_37,CM_SK_4,CM_Ve_37,CM_Ve_4,Papp_SK,Papp_Ve,MW,logD7.4,logP,logkp,PSA,pKa,logS,Donors,Acceptors,Rotatable
CM_SK_37,1.0***,0.998*,0.996,0.631,0.999*,0.965,0.752,0.83,0.83,-0.357,0.912,-0.71,-0.651,-0.71,0.858,0.901
CM_SK_4,0.998*,1.0***,0.99,0.584,0.995,0.979,0.712,0.796,0.796,-0.302,0.886,-0.668,-0.606,-0.668,0.827,0.875
CM_Ve_37,0.996,0.99,1.0***,0.694,0.999*,0.939,0.805,0.874,0.874,-0.434,0.943,-0.767,-0.713,-0.767,0.898,0.935
CM_Ve_4,0.631,0.584,0.694,1.0***,0.661,0.405,0.986,0.956,0.956,-0.95,0.894,-0.994,-1.0*,-0.994,0.94,0.905
Papp_SK,0.999*,0.995,0.999*,0.661,1.0***,0.954,0.777,0.851,0.851,-0.393,0.927,-0.737,-0.681,-0.737,0.878,0.918
Papp_Ve,0.965,0.979,0.939,0.405,0.954,1.0***,0.552,0.655,0.655,-0.099,0.772,-0.5,-0.429,-0.5,0.693,0.756
MW,0.752,0.712,0.805,0.986,0.777,0.552,1.0***,0.992,0.992,-0.884,0.956,-0.998*,-0.99,-0.998*,0.984,0.963
logD7.4,0.83,0.796,0.874,0.956,0.851,0.655,0.992,1.0***,1.0***,-0.817,0.986,-0.982,-0.964,-0.982,0.999*,0.99
logP,0.83,0.796,0.874,0.956,0.851,0.655,0.992,1.0***,1.0***,-0.817,0.986,-0.982,-0.964,-0.982,0.999*,0.99
logkp,-0.357,-0.302,-0.434,-0.95,-0.393,-0.099,-0.884,-0.817,-0.817,1.0***,-0.709,0.911,0.941,0.911,-0.786,-0.726
PSA,0.912,0.886,0.943,0.894,0.927,0.772,0.956,0.986,0.986,-0.709,1.0***,-0.937,-0.906,-0.937,0.993,1.0*
pKa,-0.71,-0.668,-0.767,-0.994,-0.737,-0.5,-0.998*,-0.982,-0.982,0.911,-0.937,1.0***,0.997,1.0***,-0.971,-0.945
logS,-0.651,-0.606,-0.713,-1.0*,-0.681,-0.429,-0.99,-0.964,-0.964,0.941,-0.906,0.997,1.0***,0.997,-0.948,-0.916
Donors,-0.71,-0.668,-0.767,-0.994,-0.737,-0.5,-0.998*,-0.982,-0.982,0.911,-0.937,1.0***,0.997,1.0***,-0.971,-0.945
Acceptors,0.858,0.827,0.898,0.94,0.878,0.693,0.984,0.999*,0.999*,-0.786,0.993,-0.971,-0.948,-0.971,1.0***,0.996
Rotatable,0.901,0.875,0.935,0.905,0.918,0.756,0.963,0.99,0.99,-0.726,1.0*,-0.945,-0.916,-0.945,0.996,1.0***
